id,composition,roost_ensemble_mean,e_hull_from_roost
401,Li2Al1S6,-0.8972040593624115,0.1324444603135155
402,Li2Hg1S2,-1.0084823369979858,0.0453799949186812
404,Li6Ca1S4,-1.6867436647415162,-0.0194981313324247
405,Li2Hg1S6,-0.5660007715225219,0.131911131089913
409,Li17Sn5S6,-0.9166454136371612,0.1695056317943867
410,Li2Ca1S6,-0.977590584754944,0.1700881950797124
412,Li1S5Cl2,-0.8635278344154358,-0.1160917815039783
413,Li17Si5S6,-0.852888411283493,0.1775402764524757
414,Li6Cd1S4,-1.384498155117035,0.0080556732920569
415,Li2S15Cl19,-0.8364915490150452,0.0470945209039354
417,Li17S6Cl5,-1.6840818166732787,0.0458011979546975
418,Li3As8S5,-0.5676587045192718,0.0290781212229156
419,Li2Zn6S1,-0.3108875632286071,0.1903617319334299
420,Li2Te1S6,-0.7148112058639526,-0.0416903383092388
421,Li1S1F2,-2.078946232795716,0.1596961671131382
423,Li11S5,-1.514256513118744,-0.1044928704755139
425,Li2Se2S1,-1.0288603246212005,-0.083543402127153
427,Li2Ga1S2,-1.2974539875984192,-0.0147025076817517
428,Li3B8S5,-0.5793911218643188,0.1337466342337716
429,Li2In6S1,-0.3157044887542725,0.185544806407765
430,Li2Sn15S19,-0.7684598445892334,0.0054445743748872
431,Li1Pb2S1,-0.5607957065105438,0.1992414284373727
432,Li6Ga1S4,-1.4046170949935912,-0.0013221211299545
434,Li17Pb6S5,-0.7633498549461365,0.172872206088089
436,Ba15Li2S19,-2.013018584251404,0.1039458586016039
437,Li17S5Cl6,-1.7170384407043455,0.0043663181275004
